創世記 1 1| 源起頭上帝創造天kap地。
創世記 1 2| 地是空空渾沌；深淵ê面上烏暗；上帝ê神運動tī水面。
創世記 1 3| 上帝講，Tio̍h有光，就有光。
創世記 1 4| 上帝看光，是好；上帝將光暗分開。
創世記 1 5| 上帝叫hit-ê光做日，叫暗做暝。有ê-hng有早起，是頭一日。：
創世記 1 6| 上帝講，Chiah-ê水ê中間tio̍h有穹蒼，將水kap水分開。
創世記 1 7| 上帝就造穹蒼，來分開穹蒼下ê水kap穹蒼頂ê水；就有án-ni。
創世記 1 8| 上帝叫穹蒼做天。有ê-hng有早起，是第二日。
創世記 1 9| 上帝講，天下chiah-ê水tio̍h聚集到一所在，乾地tio̍h出現；就有án-ni。
創世記 1 10| 上帝叫乾地做地；叫聚集ê水做海；上帝看伊是好。
創世記 1 11| 上帝講，地tio̍h發草，以及結子ê菜蔬，kap照類生果子ê樹，hit內面有伊ê chí，tī地上；就有án-ni。
創世記 1 12| 地就發草，kap照類結chí ê菜蔬，kap照類生果子ê樹，內面有伊ê chí；上帝看伊是好。
創世記 1 13| 有ê-hng有早起，是第三日。
創世記 1 14| 上帝講，天裡ê穹蒼tio̍h有發光ê體，來分別日暝；也thang做兆頭，四季，日，年；
創世記 1 15| 亦hō͘ in做光體tī天ê穹蒼，照光tī地上；就有án-ni。
創世記 1 16| 上帝就造大ê光體兩個；大ê光體來管日時，細ê光體來管暝時；也造星辰。
創世記 1 17| 上帝hē in tī天裡ê穹蒼，hō͘ in照光tī地裡；
創世記 1 18| 也beh管有日暝，分別光暗。上帝看伊是好。
創世記 1 19| 有ê-hng有早起，是第四日。
創世記 1 20| 上帝講，水tio̍h生湠chōe-chōe有活命ê動物；鳥飛tī地ê頂面，天裡ê穹蒼。
創世記 1 21| 上帝就創造海裡ê大魚，以及水所生chōe-chōe有活命ê動物，各照伊ê類，koh創造ta̍k樣ê飛鳥，照伊ê類；上帝看伊是好。
創世記 1 22| 上帝賜福in，講，Tio̍h生湠加添真chōe，充滿tī海裡ê水，也hō͘鳥隻生湠chōe-chōe tī地裡。
創世記 1 23| 有ê-hng有早起，是第五日。
創世記 1 24| 上帝講，地tio̍h生有活命ê動物，照伊ê類，cheng-siⁿ，蟲thōa，地上ê走獸，照伊ê類；就有án-ni。
創世記 1 25| 上帝就造地上ê走獸照伊ê類，cheng-siⁿ照伊ê類，地上一切ê蟲thōa照伊ê類；上帝看伊是好。
創世記 1 26| 上帝講，咱tio̍h造人親像咱ê像，照咱ê款；hō͘ in管理海裡ê魚，天裡ê鳥，kap cheng-siⁿ，kap全地，以及地上teh sô ê蟲thōa。
創世記 1 27| 上帝就創造人親像伊家己ê像，照上帝ê像創造伊；創造in男ê女ê。
創世記 1 28| 上帝賜福in；上帝koh對in講，Tio̍h生湠真chōe，充滿tī地上，來khah贏伊；也tio̍h治理海裡ê魚，天裡ê鳥，kap地上一切所振動ê活物。
創世記 1 29| 上帝講，我有hō͘ lín遍地上一切結chí ê菜蔬，koh一切ê樹，其中有結子ê樹ê果子；lóng hō͘ lín做食物。
創世記 1 30| 論到地上一切ê走獸，天中一切ê鳥，kap地上一切會振動有活命ê物，我將一切青草hō͘ in做食物；就有án-ni。
創世記 1 31| 上帝看伊一切所造ê，看ah，真好。有ê-hng有早起，是第六日。
創世記 2 1| 天地kap祂一切所有ê已經做完。
創世記 2 2| Tī第七日，上帝完祂所造ê工；就tī第七日歇祂一切所造ê工。
創世記 2 3| 上帝賜福tī第七日，定做聖日；因為tī chit日上帝停祂一切創造ê工，就安歇。
創世記 2 4| 天地創造ê來歷，tī耶和華上帝造地kap天ê日，親像下底。
創世記 2 5| 山野一切ê草木未有tī地裡；山野一切ê菜蔬未有發；因為耶和華上帝無落雨tī地裡，也無人thang種作hit-ê土地。
創世記 2 6| 總是有霧tùi地起，潤澤遍地面。
創世記 2 7| 耶和華上帝用地上ê土粉chhiau做人，pûn活ê氣入伊ê鼻孔；人就成做活ê靈魂。
創世記 2 8| 耶和華上帝tī東方，tī伊甸，種一個園；將所造ê人hē tī-hia。
創世記 2 9| 耶和華上帝hō͘ ta̍k樣ê樹tùi地裡發起來，好看也好食；tī園ê中間koh有活命ê樹，kap分別好pháiⁿ ê樹。
創世記 2 10| 伊甸有河流出來灌ak hit-ê園；tùi-hia分開做四條。
創世記 2 11| 頭一條名叫Pí-sùn；就是se̍h流tī Hap-hui-la̍h全地ê；tī-hia有出金；
創世記 2 12| hit位ê金是真好；亦出珍珠、碧玉。
創世記 2 13| 第二條名叫Ki-hùn，就是se̍h流tī Kó͘-si̍t全地ê。
創世記 2 14| 第三條名叫Hi-tí-kiat，就是流tī亞述ê東勢ê。第四條就是Pek-lat。
創世記 2 15| 耶和華上帝將hit-ê人hē tī伊甸園，來種作顧守。
創世記 2 16| 耶和華上帝吩咐hit-ê人講，園內ta̍k號樹ê果子，thang隨意來食。
創世記 2 17| 總是分別好pháiⁿ ê樹，伊ê果子m̄-thang食；因為食ê日你的確死。
創世記 2 18| 耶和華上帝講，人單身家己tòa m̄好；我beh kā伊造一個幫贊ê，來匹配伊。
創世記 2 19| 耶和華上帝用土做山野ta̍k樣ê走獸，以及空中ta̍k樣ê飛鳥；chhōa到hit人ê面前，看伊beh稱in甚麼名；見若伊所稱ta̍k樣活物ê，就做hit-ê物ê名。
創世記 2 20| Hit-ê人就kā一切ê cheng-siⁿ，kap空中ê飛鳥，kap山野一切ê走獸lóng號名；總是chhē無一個thang做hit人ê幫贊，來匹配伊。
創世記 2 21| 耶和華上帝hō͘ hit-ê人睏重眠，伊就睏；就the̍h伊ê hia̍p骨一支，包密伊ê肉。
創世記 2 22| 耶和華上帝就將tùi hit人所the̍h出ê hia̍p骨，造成一個cha-bó͘人，chhōa來就近hit人。
創世記 2 23| Hit人講，Taⁿ chit-ê是我骨內ê骨，肉內ê肉；beh稱做cha-bó͘人，因為伊是tùi ta-po͘人the̍h出。
創世記 2 24| 所以人beh離開伊ê父母，結聯伊ê bó͘，in就成做一體。
創世記 2 25| Ang-bó͘兩人平平thǹg-pak-theh，也無見笑。
創世記 3 1| 耶和華上帝所造山野一切ê活物，蛇是比in khah狡譎。蛇tùi婦人人講，上帝kiám有影講，園內一切ê樹，lín lóng m̄-thang食mah？
創世記 3 2| 婦人人對蛇講，園內樹裡ê果子阮thang食；
創世記 3 3| 只有園中央hit叢樹ê果子上帝bat講，Lín m̄-thang食伊，亦m̄-thang摸，驚了會死。
創世記 3 4| 蛇對婦人人講，Lín無的確會死。
創世記 3 5| 因為上帝知lín食ê日，lín ê目睭就會開，lín beh親像上帝，能分別好pháiⁿ。
創世記 3 6| 婦人人看hit叢樹，好食亦合(kah)目；koh hit叢樹是thang欣慕，hō͘人有智慧；就挽伊ê果子食伊，續hō͘伊ê丈夫，伊亦食伊。
創世記 3 7| In兩人ê目睭就開，chiah知in是thǹg-pak-theh；就pín無花果葉，為家己做裙。
創世記 3 8| 日涼冷 ê時，耶和華上帝行遊tī園內；in聽見伊ê聲，hit人kap伊ê婦人人就bih tī園內ê樹中，來閃避耶和華上帝ê面。
創世記 3 9| 耶和華上帝叫hit人，對伊講，你tī tah-lo̍h？
創世記 3 10| 伊就講，我聽見你ê聲tī園內，我就驚，因為我thǹg-pak-theh；就家己bih。
創世記 3 11| 講，Chī-chūi kā你講，你thǹg-pak-theh？我吩咐你m̄-thang食hit叢樹，你食伊mah？
創世記 3 12| hit人講，你所hō͘我做伴ê婦人人，伊用hit叢樹ê果子hō͘我，我就食伊。
創世記 3 13| 耶和華上帝對婦人人講，你所做是甚麼事？婦人人講，蛇引誘我，我就食。
創世記 3 14| 耶和華上帝對蛇講，你已經做chit-ê，所以你受咒詛，比一切ê cheng-siⁿ，kap山野一切ê走獸，khah重；你beh用腹肚行，一生食土粉。
創世記 3 15| 我beh hō͘你kap婦人人結冤仇，你ê後裔kap伊ê後裔亦結冤仇；伊beh傷你ê頭殼，你beh傷伊ê腳後tiⁿ。
創世記 3 16| Koh對婦人人講，我的確大大加添你懷孕ê艱苦；你beh艱苦生kiáⁿ；你beh戀慕你ê丈夫，伊beh管轄你。
創世記 3 17| 也對亞當講，你已經聽thàn你ê婦人人ê話，來食我所吩咐你講，你m̄-thang食伊ê；所以土地因為你ê緣故受咒詛；你一世人勞苦，chiah tùi伊得tio̍h食。
創世記 3 18| 土地beh為tio̍h你發刺phè kap蒺藜；你也beh食園裡ê菜蔬。
創世記 3 19| 你beh汗流滿面chiah thang得tio̍h食，到你歸土；因為你是tùi土the̍h出來；你本是土粉，也beh歸tī土粉。
創世記 3 20| hit人kā伊ê bó͘號名，叫夏娃；因為伊做眾人ê老母。
